Variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se,(4) coef,(4) se
Equity pay share (CEO),,,,,,,+1.658,(1.773)
CEO share ownership (%),-0.017,(0.089),,,,,,
"Log(CEO holdings, USD)",,,+0.029,(0.231),,,+0.087,(0.238)
Log(holdings / annual comp),,,,,-0.004,(0.201),,
Log(market cap),+0.845**,(0.343),+0.836**,(0.357),+0.851**,(0.344),+0.805**,(0.359)
Leverage,-2.483,(1.869),-2.451,(1.873),-2.468,(1.876),-2.592,(1.884)
ROA,+3.270,(5.335),+3.204,(5.316),+3.260,(5.296),+3.338,(5.357)
N,598,,598,,598,,598,
R-squared,0.059,,0.059,,0.059,,0.061,
